rt,trial_type,trial_index,trial_number,time_elapsed,random_id,participant_id,technical_issues,response,stimulus,trial_phase,is_repeat,test_type,correct,old_image,new_image,correct_position,file_name,age,gender,memory_experiment_experience,task_guess,technical_issues_question,participant_is_group_member
NA,image-keyboard-response,121,59,248835,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Edispenser1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,123,60,252842,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sbureau1.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,125,61,256849,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n17avendingmachine.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,127,62,260856,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Scookies1.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,129,63,264863,p0njrbtzmo2,wolf,No,null,stimuli/organized/EXEMPLAR/USED/Ebell1.jpg,memory,FALSE,exemplar,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,131,64,268869,p0njrbtzmo2,wolf,No,null,stimuli/organized/Novel pairs (tested)/n20acarseat.jpg,memory,FALSE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
1273,image-keyboard-response,133,65,272876,p0njrbtzmo2,wolf,No,NA,stimuli/organized/Novel pairs (tested)/n19apickle.jpg,memory,TRUE,novel,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,135,66,276881,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sdonut1.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,137,67,280886,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Sapplesgreenbasket1.jpg,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
NA,image-keyboard-response,139,68,284894,p0njrbtzmo2,wolf,No,null,stimuli/organized/STATE/USED/Slaptop1.JPG,memory,FALSE,state,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_massive_memory/analysis/../data/raw_data/p0njrbtzmo2_1772139328798.csv,20,female,yes,Testing my recall ability,No,FALSE
